@337RC3OW06GRTEU35U8RKOPVYF2LVD@|@3BAWBGQGYLDPR978BY2FDZC61GMV7Q@|@A14V2G8AZ32MFW@|@b4@|@{"unassigned":[{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]},{"name":"person","variables":[{"varnum":"0","type":"variable","val":"B"}]}],"if_block":[{"name":"hasCarbonMonoxide","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"X"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"?"}]},{"name":"PersonInLocation","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"variable","val":"A"}]}],"then_block":[{"name":"ventilate","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3NL0RFNU0G1HFVT60YV3WYC3WV04KH@|@3DZKABX2ZIJV3Q242FAQTL4K2RECV1@|@A7U2WFDDTAM16@|@a1@|@{"unassigned":[{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"48"}]},{"name":"CarbonMonoxideOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"78"}]}],"if_block":[],"then_block":[]}@
@3LEIZ60CDKDD1WY4HUU40LBWMWRZ9U@|@3G57RS03HHJ17EVNZV37DA1ZDCZ52E@|@AJFVK3O1D7SPE@|@a4@|@{"unassigned":[{"name":"PersonInTunnel","variables":[{"varnum":"0","type":"http://www.w3.org/2001/XMLSchema#string","val":"person"},{"varnum":"1","type":"variable","val":"X"}]},{"name":"triple","variables":[{"varnum":"0","type":"URI","val":"example:Person"},{"varnum":"1","type":"URI","val":"rdfs:label"},{"varnum":"2","type":"http://www.w3.org/2001/XMLSchema#string","val":"person"}]},{"name":"CarbonMonoxideOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"68"}]}],"if_block":[],"then_block":[]}@
@3IHR8NYAM8FIQMQMDQ0BSFY2Q56P43@|@372AGES0I4JRDHWIKR13610RI3OXRU@|@A2FXQ20QAAHPK6@|@a8@|@"coal truck"@
@3IX2EGZR7CXT5HPMTPR43CN09KKJRG@|@3EFNPKWBMS2RXP556PB0FPA02IO03Z@|@A1ELPYAFO7MANS@|@a5@|@{"unassigned":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"38"}]}],"if_block":[],"then_block":[]}@
@3R6BYFZZP8QXXBP2JY6BDWHWHUNXFM@|@3BAWBGQGYLDPR978BY2FDZC61GMV7Q@|@A1H61EEQFXGSPR@|@b4@|@"activate the ventilation"@
@3S0TNUHWKUWAKQAYKKZT9XXIE8ZD8K@|@3X52SWXE0XJ8IF29SPFMFNNY90GCWB@|@AJFVK3O1D7SPE@|@b8@|@"coal truck is stuck"@
@30MVJZJNHNRN1HT0Z8RICRN63YEJ9T@|@37Y5RYYI0PJ3EWWVZG18WB5N457XSI@|@A2749O2SDOWUGW@|@b5@|@{"unassigned":[],"if_block":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"38"}]}],"then_block":[{"name":"fullEvacuation","variables":[]}]}@
@333U7HK6IATZ476HBOWKYN6WUJTJDA@|@33NKDW9FFXWN7F7Z2UB8H615I2MCX4@|@A1ELPYAFO7MANS@|@b10@|@"send a cold weather alert"@
@3P4MQ7TPPYQ07RAL90SX59ZJJT9BBB@|@3DW3BNF1GHWTRNCRL3ULRZ81C0SV8D@|@AJFVK3O1D7SPE@|@a2@|@{"unassigned":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"48"}]},{"name":"CarbonMonoxideOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"78"}]}],"if_block":[],"then_block":[]}@
